,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
3690,3,87,48.0,4,4,3,5,259,0.9042,2009.0
8828,1,88,25.0,3,157,1,18,270,0.0,2007.0
4685,3,86,26.0,5,67,5,32,156,0.5927,2011.0
1749,22,85,39.0,141,11,14,71,206,0.8968,2010.0
9181,1,90,25.0,19,27,3,25,259,0.9607,2005.0
3711,3,92,50.0,7,25,10,11,173,0.8126,2009.0
9332,12,89,20.0,59,11,2,302,227,0.8697,2014.0
1248,2,93,140.0,52,90,2,19,246,0.2006,2010.0
7554,8,85,25.0,66,11,2,53,208,0.8658,2012.0
7429,2,85,10.0,52,195,2,35,211,0.6369,2015.0
3016,2,94,101.0,41,104,2,5,276,0.8591,2014.0
5176,2,89,14.0,74,270,8,10,215,0.6474,2009.0
6539,1,89,33.0,3,94,3,18,236,0.7964,2009.0
5632,2,85,20.0,2,220,2,9,275,0.3182,2014.0
2256,2,81,10.0,48,79,9,2,138,-0.5859,2001.0
6751,3,90,45.0,4,81,11,4,194,0.5574,2012.0
6993,2,83,12.0,6,9,2,8,106,0.6369,2009.0
9410,1,87,50.0,19,27,1,25,225,0.0,2012.0
3563,3,92,60.0,7,25,6,20,313,0.0,2014.0
9221,12,90,26.0,42,11,2,40,189,0.6486,2003.0
